order_id,customer_id,customer_name,city,category,product_name,unit_price,quantity,discount_percent,payment_method,order_status,order_timestamp
ORD-100001,CUST-1002,Charlie Brown,New York,Electronics,Bluetooth Speaker,651.35,2,0.1,Debit Card,COMPLETED,2025-08-13 02:08:06
ORD-100002,CUST-1007,Hannah Abbott,San Francisco,Clothing,Cotton T-Shirt,32.58,2,0.05,Apple Pay,COMPLETED,2025-02-26 18:24:50
ORD-100003,CUST-1015,Pam Beesly,Tokyo,Clothing,Winter Jacket,109.63,2,0.25,Debit Card,COMPLETED,2025-08-19 03:11:38
ORD-100004,CUST-1009,Julia Roberts,Sydney,Books,Economics 101,23.92,1,0.05,Credit Card,COMPLETED,2025-10-11 06:17:49
ORD-100005,CUST-1017,,New York,Sports & Outdoors,Dumbbell Set,67.51,2,0.1,UPI / Digital Wallet,PENDING,2025-04-30 10:16:57
ORD-100006,CUST-1009,Julia Roberts,Mumbai,Home & Kitchen,Vacuum Cleaner,329.77,4,0.05,UPI / Digital Wallet,COMPLETED,2025-05-15 06:26:15
ORD-100007,CUST-1010,Kevin Bacon,,Books,Cookbook,40.74,2,0.2,Debit Card,COMPLETED,2025-04-13 14:57:19
ORD-100008,CUST-1017,Rachel Green,San Francisco,Electronics,Laptop,779.88,2,0.05,PayPal,COMPLETED,2025-05-09 21:15:50
ORD-100009,CUST-1007,Hannah Abbott,Berlin,Clothing,Cotton T-Shirt,125.94,1,0.1,Debit Card,CANCELLED,2025-03-08 13:39:41
ORD-100010,CUST-1012,Michael Scott,London,Electronics,Laptop,911.23,3,0.25,Apple Pay,COMPLETED,2025-07-31 11:37:25
ORD-100011,CUST-1010,Kevin Bacon,Berlin,Home & Kitchen,Vacuum Cleaner,196.11,1,0.25,UPI / Digital Wallet,COMPLETED,2025-06-01 21:23:31
ORD-100012,CUST-1011,Laura Croft,New York,Books,History of Computing,18.4,1,0.2,Debit Card,COMPLETED,2025-12-16 18:27:57
ORD-100013,CUST-1010,Kevin Bacon,Singapore,Electronics,Smartwatch,118.91,1,0.1,Credit Card,COMPLETED,2025-04-17 18:49:31
ORD-100014,CUST-1006,George Clark,Singapore,Home & Kitchen,Air Fryer,252.3,2,0.2,Apple Pay,CANCELLED,2025-06-09 03:36:33
ORD-100015,CUST-1014,Oscar Martinez,Paris,Home & Kitchen,Air Fryer,282.53,4,0.05,Credit Card,RETURNED,2025-12-30 09:08:18
ORD-100016,CUST-1011,Laura Croft,Singapore,Books,Sci-Fi Novel,32.63,1,0.25,Apple Pay,COMPLETED,2025-12-20 07:49:53
ORD-100017,CUST-1002,Charlie Brown,London,Books,Sci-Fi Novel,9.26,1,0.15,Debit Card,COMPLETED,2025-09-23 23:19:12
ORD-100018,CUST-1005,Fiona Gallagher,Berlin,Electronics,Laptop,389.19,1,0.05,Credit Card,COMPLETED,2025-06-17 02:56:34
ORD-100019,CUST-1002,Charlie Brown,Singapore,Home & Kitchen,Espresso Machine,267.93,1,0.1,Debit Card,CANCELLED,2025-09-22 10:18:33
ORD-100020,CUST-1009,Julia Roberts,London,Electronics,Laptop,804.96,1,0.25,Credit Card,RETURNED,2025-07-15 15:58:55
ORD-100021,CUST-1011,Laura Croft,San Francisco,Home & Kitchen,Air Fryer,115.9,2,0.05,PayPal,COMPLETED,2025-03-04 06:15:18
ORD-100022,CUST-1001,Bob Jones,Sydney,Sports & Outdoors,Camping Tent,90.55,1,0.0,Apple Pay,RETURNED,2025-09-08 10:31:01
ORD-100023,CUST-1009,Julia Roberts,New York,Home & Kitchen,Air Fryer,282.86,2,0.25,Debit Card,COMPLETED,2025-03-09 05:37:06
ORD-100024,CUST-1014,Oscar Martinez,San Francisco,Home & Kitchen,Espresso Machine,209.0,1,0.2,PayPal,PENDING,2025-07-08 10:39:13
ORD-100025,CUST-1018,Steve Rogers,Singapore,Clothing,Hooded Sweatshirt,114.04,1,0.0,PayPal,CANCELLED,2025-09-04 09:32:56
ORD-100026,CUST-1007,Hannah Abbott,Paris,Electronics,4K Monitor,475.77,1,0.25,Debit Card,RETURNED,2025-12-07 00:55:53
ORD-100027,CUST-1019,Tony Stark,Singapore,Home & Kitchen,Air Fryer,345.22,1,0.05,Credit Card,PENDING,2025-05-25 15:51:01
ORD-100028,CUST-1000,Alice Smith,Mumbai,Clothing,Sneakers,99.12,2,0.2,Apple Pay,COMPLETED,2025-08-23 20:08:38
ORD-100029,CUST-1007,Hannah Abbott,New York,Sports & Outdoors,Bicycle Helmet,118.06,2,0.25,Debit Card,COMPLETED,2025-11-18 05:24:43
ORD-100030,CUST-1014,Oscar Martinez,Tokyo,Sports & Outdoors,Water Bottle,81.94,2,0.0,UPI / Digital Wallet,COMPLETED,2025-03-02 18:12:17
ORD-100031,CUST-1000,Alice Smith,Mumbai,Sports & Outdoors,Yoga Mat,67.44,1,0.1,UPI / Digital Wallet,COMPLETED,2025-04-06 13:05:29
ORD-100032,CUST-1016,Quentin Tarantino,Sydney,Clothing,Cotton T-Shirt,48.61,1,0.25,Apple Pay,COMPLETED,2025-12-01 07:52:00
