order_id,customer_id,customer_name,city,product_name,unit_price,quantity,discount_percent,payment_method,order_status,order_timestamp,gross_amount,discount_amount,net_revenue,order_date,order_month,order_hour,category
ORD-100004,CUST-1009,Julia Roberts,Sydney,Economics 101,23.92,1,0.05,Credit Card,COMPLETED,2025-10-11 00:47:49,23.92,1.2,22.72,2025-10-11,2025-10,6,Books
ORD-100007,CUST-1010,Kevin Bacon,Unknown City,Cookbook,40.74,2,0.2,Debit Card,COMPLETED,2025-04-13 09:27:19,81.48,16.3,65.18,2025-04-13,2025-04,14,Books
ORD-100012,CUST-1011,Laura Croft,New York,History of Computing,18.4,1,0.2,Debit Card,COMPLETED,2025-12-16 12:57:57,18.4,3.68,14.72,2025-12-16,2025-12,18,Books
ORD-100016,CUST-1011,Laura Croft,Singapore,Sci-Fi Novel,32.63,1,0.25,Apple Pay,COMPLETED,2025-12-20 02:19:53,32.63,8.16,24.47,2025-12-20,2025-12,7,Books
ORD-100017,CUST-1002,Charlie Brown,London,Sci-Fi Novel,9.26,1,0.15,Debit Card,COMPLETED,2025-09-23 17:49:12,9.26,1.39,7.87,2025-09-23,2025-09,23,Books
ORD-100038,CUST-1010,Kevin Bacon,Tokyo,History of Computing,24.31,1,0.0,PayPal,COMPLETED,2025-05-02 00:06:06,24.31,0.0,24.31,2025-05-02,2025-05,5,Books
ORD-100050,CUST-1014,Oscar Martinez,Mumbai,Biography,13.48,2,0.2,Debit Card,RETURNED,2025-09-14 01:10:23,26.96,5.39,21.57,2025-09-14,2025-09,6,Books
ORD-100052,CUST-1016,Quentin Tarantino,Tokyo,Sci-Fi Novel,44.99,1,0.0,PayPal,COMPLETED,2025-03-03 12:08:36,44.99,0.0,44.99,2025-03-03,2025-03,17,Books
ORD-100053,CUST-1013,Unknown Customer,San Francisco,Economics 101,35.46,1,0.0,PayPal,COMPLETED,2025-11-08 09:18:10,35.46,0.0,35.46,2025-11-08,2025-11,14,Books
ORD-100055,CUST-1009,Julia Roberts,Toronto,Biography,23.74,1,0.15,Apple Pay,RETURNED,2025-07-08 15:13:00,23.74,3.56,20.18,2025-07-08,2025-07,20,Books
ORD-100059,CUST-1008,Ian Malcolm,Tokyo,Sci-Fi Novel,40.34,2,0.25,UPI / Digital Wallet,PENDING,2025-07-29 17:56:40,80.68,20.17,60.51,2025-07-29,2025-07,23,Books
ORD-100061,CUST-1004,Evan Wright,San Francisco,Sci-Fi Novel,40.7,1,0.05,PayPal,COMPLETED,2025-11-07 16:08:17,40.7,2.04,38.66,2025-11-07,2025-11,21,Books
ORD-100063,CUST-1011,Laura Croft,Unknown City,Data Engineering Handbook,40.29,2,0.25,Debit Card,PENDING,2025-04-16 22:51:00,80.58,20.15,60.43,2025-04-17,2025-04,4,Books
ORD-100064,CUST-1015,Pam Beesly,Berlin,Cookbook,17.59,5,0.25,PayPal,PENDING,2025-04-15 09:10:22,87.95,21.99,65.96,2025-04-15,2025-04,14,Books
ORD-100066,CUST-1003,Diana Prince,Paris,Cookbook,18.36,1,0.1,Credit Card,COMPLETED,2025-07-04 15:03:41,18.36,1.84,16.52,2025-07-04,2025-07,20,Books
ORD-100072,CUST-1006,George Clark,London,Data Engineering Handbook,33.74,1,0.25,PayPal,CANCELLED,2025-08-16 11:58:17,33.74,8.44,25.3,2025-08-16,2025-08,17,Books
ORD-100080,CUST-1001,Bob Jones,Singapore,Data Engineering Handbook,32.33,5,0.2,Credit Card,PENDING,2025-06-05 20:46:42,161.65,32.33,129.32,2025-06-06,2025-06,2,Books
ORD-100082,CUST-1018,Steve Rogers,Berlin,Biography,12.67,2,0.2,UPI / Digital Wallet,COMPLETED,2025-05-17 18:06:16,25.34,5.07,20.27,2025-05-17,2025-05,23,Books
ORD-100083,CUST-1003,Diana Prince,Singapore,Biography,34.4,2,0.15,Debit Card,PENDING,2025-06-30 13:57:58,68.8,10.32,58.48,2025-06-30,2025-06,19,Books
ORD-100084,CUST-1010,Kevin Bacon,London,Sci-Fi Novel,8.13,5,0.0,PayPal,COMPLETED,2025-07-21 03:18:37,40.65,0.0,40.65,2025-07-21,2025-07,8,Books
ORD-100098,CUST-1016,Quentin Tarantino,Berlin,Biography,39.8,1,0.15,UPI / Digital Wallet,RETURNED,2025-01-08 19:52:56,39.8,5.97,33.83,2025-01-09,2025-01,1,Books
ORD-100103,CUST-1010,Kevin Bacon,Mumbai,Cookbook,34.01,1,0.0,Debit Card,COMPLETED,2025-01-21 10:15:12,34.01,0.0,34.01,2025-01-21,2025-01,15,Books
ORD-100104,CUST-1003,Diana Prince,New York,Biography,31.73,2,0.05,Credit Card,COMPLETED,2025-10-10 13:36:36,63.46,3.17,60.29,2025-10-10,2025-10,19,Books
ORD-100108,CUST-1010,Kevin Bacon,Tokyo,Data Engineering Handbook,36.29,1,0.05,Apple Pay,CANCELLED,2025-08-01 06:50:36,36.29,1.81,34.48,2025-08-01,2025-08,12,Books
ORD-100112,CUST-1008,Ian Malcolm,San Francisco,Sci-Fi Novel,22.54,5,0.05,Credit Card,RETURNED,2025-04-23 17:13:23,112.7,5.64,107.06,2025-04-23,2025-04,22,Books
ORD-100114,CUST-1008,Ian Malcolm,Sydney,Cookbook,33.21,1,0.2,Apple Pay,COMPLETED,2025-04-05 15:55:08,33.21,6.64,26.57,2025-04-05,2025-04,21,Books
